PickupDateTime	DropoffDateTime	PassengerCount	TripDistance	StoreAndFwdFlag	PULocationID	DOLocationID	FareAmount	TipAmount
01/01/2020 05:54:28	01/01/2020 05:58:41	1	0.6	No	170	137	4.5	0
01/01/2020 05:57:13	01/01/2020 05:58:05	1	0.11	No	260	260	2.5	0
01/01/2020 05:36:31	01/01/2020 05:37:23	3	0.18	No	141	141	3	0
01/01/2020 05:23:15	01/01/2020 05:23:54	2	0.09	No	114	114	2.5	0
01/01/2020 05:13:39	01/01/2020 05:24:26	2	1.26	No	249	90	8.5	0
01/01/2020 05:18:16	01/01/2020 05:18:42	1	0.03	No	164	164	2.5	0
01/01/2020 09:44:29	01/01/2020 09:44:36	4	0	No	265	265	70	0
01/01/2020 05:44:29	01/01/2020 05:47:34	2	0.39	No	79	79	4	0
01/01/2020 05:42:44	01/01/2020 05:44:24	1	0.04	No	48	48	3	0
01/01/2020 05:21:30	01/01/2020 05:29:12	2	0.78	No	114	113	6.5	0
01/01/2020 05:21:10	01/01/2020 05:22:39	1	0.33	No	146	146	0	0
01/01/2020 05:13:40	01/01/2020 05:31:14	2	2.41	No	246	249	13	0
01/01/2020 05:21:37	01/01/2020 05:27:07	3	0.72	No	68	113	5.5	0
01/01/2020 05:34:49	01/01/2020 05:57:39	2	2.93	No	142	164	16.5	0
01/01/2020 05:48:57	01/01/2020 05:52:37	1	0.2	No	141	141	4	0
01/01/2020 05:38:08	01/01/2020 05:39:21	1	0.09	No	237	237	3	0
01/01/2020 05:26:07	01/01/2020 05:31:29	1	0.91	No	234	114	5.5	0
01/01/2020 05:49:08	01/01/2020 05:52:54	1	0.02	No	164	164	4	0
01/01/2020 05:44:31	01/01/2020 05:45:05	1	0.06	No	68	90	2.5	0
01/01/2020 05:46:56	01/01/2020 05:59:16	1	2.33	No	87	249	10.5	0
01/01/2020 05:18:30	01/01/2020 05:21:27	1	0.25	No	107	164	4	0
01/01/2020 04:26:25	01/01/2020 04:27:57	2	0.17	No	162	163	3	0
01/01/2020 05:30:31	01/01/2020 05:30:46	1	0.01	No	239	239	2.5	0
01/01/2020 05:18:58	01/01/2020 05:30:53	2	0.81	No	107	234	8.5	0
01/01/2020 05:58:01	01/01/2020 06:02:39	1	0.64	No	170	233	5	0
01/01/2020 05:10:44	01/01/2020 05:18:38	1	2.32	No	140	74	9	0
01/01/2020 05:10:30	01/01/2020 05:24:14	1	6.96	No	229	196	20	0
01/01/2020 05:28:04	01/01/2020 05:34:33	1	0.81	No	79	113	6	0
01/01/2020 05:40:30	01/01/2020 05:45:02	2	0.8	No	42	41	5.5	0
01/01/2020 05:08:13	01/01/2020 05:08:27	5	0	No	48	48	2.5	0
01/01/2020 05:26:04	01/01/2020 05:27:18	1	0	No	234	234	2.5	0
01/01/2020 05:55:09	01/01/2020 05:59:11	1	0.65	No	148	144	4.5	1.66
01/01/2020 05:01:42	01/01/2020 05:05:13	1	0.66	No	236	140	4.5	0
01/01/2020 05:48:19	01/01/2020 06:01:58	1	1.08	No	43	162	9	3.2
01/01/2020 05:35:41	01/01/2020 05:46:53	1	1.2	No	249	79	8.5	2.45
01/01/2020 05:50:28	01/01/2020 05:50:34	2	0	No	79	79	52	0
01/01/2020 05:17:45	01/01/2020 05:20:55	1	0.03	No	186	186	4	0
01/01/2020 05:30:14	01/01/2020 05:35:15	1	0.72	No	141	140	5	0
01/01/2020 05:14:15	01/01/2020 05:26:39	1	2.25	No	231	107	10.5	0
01/01/2020 06:00:29	01/01/2020 06:03:50	1	0.55	No	246	246	4.5	0
01/01/2020 05:06:51	01/01/2020 05:21:09	1	3.93	No	148	141	13.5	0
01/01/2020 05:40:30	01/01/2020 05:58:36	1	0.78	No	161	164	11	0
01/01/2020 05:16:32	01/01/2020 05:28:26	1	1.26	No	249	79	8.5	0
01/01/2020 05:04:53	01/01/2020 05:26:25	1	11.35	No	107	14	32.5	0
01/01/2020 05:28:41	01/01/2020 05:34:01	1	0.88	No	7	7	5.5	0
01/01/2020 05:18:21	01/01/2020 05:18:59	1	0.16	No	148	148	2.5	0
01/01/2020 05:14:34	01/01/2020 05:15:49	1	0.08	No	161	161	3	0
01/01/2020 05:24:37	01/01/2020 05:31:19	1	1.26	No	79	45	6.5	0
01/01/2020 05:41:11	01/01/2020 05:48:14	1	0.3	No	48	48	-6	0
01/01/2020 05:41:11	01/01/2020 05:48:14	1	0.3	No	48	48	6	0
01/01/2020 05:00:46	01/01/2020 05:19:33	1	4	No	161	263	16	0
01/01/2020 05:34:05	01/01/2020 05:51:26	1	9	No	161	138	26	7.18
01/01/2020 05:17:43	01/01/2020 05:21:58	3	0.68	No	158	125	4.5	0
01/01/2020 05:15:23	01/01/2020 05:18:06	1	0.4	No	234	234	4	0
01/01/2020 05:45:27	01/01/2020 05:52:00	1	0.6	No	233	162	6	0
01/01/2020 05:59:37	01/01/2020 06:05:42	1	1.1	No	79	4	6	1.96
01/01/2020 06:50:04	01/01/2020 06:53:55	1	0.09	No	233	233	4	0
01/01/2020 05:44:55	01/01/2020 05:51:10	2	1.85	No	48	238	7.5	0
01/01/2020 06:53:34	01/01/2020 06:54:17	4	0	No	129	129	0	0
01/01/2020 06:09:09	01/01/2020 06:15:19	1	0.52	No	263	262	5	0
01/01/2020 06:08:41	01/01/2020 06:08:47	1	0	No	140	140	52	0
01/01/2020 05:59:08	01/01/2020 06:00:41	6	0.16	No	137	137	3	0
01/01/2020 06:48:39	01/01/2020 06:49:33	1	0	No	107	107	2.5	0
01/01/2020 06:41:49	01/01/2020 06:43:56	3	0.12	No	229	229	3.5	0
01/01/2020 06:04:30	01/01/2020 06:08:36	1	0.99	No	140	229	5.5	0
01/01/2020 06:10:41	01/01/2020 06:16:31	1	0.65	No	229	162	5	0
01/01/2020 06:53:18	01/01/2020 06:54:23	1	0.15	No	162	170	3	0
01/01/2020 06:50:19	01/01/2020 07:01:27	1	2.63	No	49	61	10.5	0
01/01/2020 06:16:49	01/01/2020 06:39:30	1	5.37	No	141	119	19	0
01/01/2020 06:18:56	01/01/2020 06:20:47	1	0.42	No	125	231	3.5	0
01/01/2020 06:08:14	01/01/2020 06:10:14	2	0.24	No	42	42	3.5	0.8
01/01/2020 06:35:35	01/01/2020 06:44:55	2	1.49	No	158	211	8	2.95
01/01/2020 06:26:20	01/01/2020 06:46:16	1	5.78	No	141	144	20	0
01/01/2020 06:50:41	01/01/2020 07:34:05	4	16.38	No	68	259	50	0
01/01/2020 06:52:47	01/01/2020 07:17:25	1	10.85	No	236	18	31.5	0
01/01/2020 06:07:04	01/01/2020 06:24:01	1	2.48	No	263	143	12.5	0
01/01/2020 06:01:54	01/01/2020 06:10:17	2	1.86	No	229	236	8	0
01/01/2020 05:55:08	01/01/2020 05:56:11	1	0	No	107	107	3	0
01/01/2020 06:42:35	01/01/2020 06:44:33	3	0.75	No	263	236	4	0
01/01/2020 06:41:32	01/01/2020 06:43:05	1	0.11	No	142	143	3	0
